序号,营业部名称,上榜后1天-买入次数,上榜后1天-平均涨幅,上榜后1天-上涨概率,上榜后2天-买入次数,上榜后2天-平均涨幅,上榜后2天-上涨概率,上榜后3天-买入次数,上榜后3天-平均涨幅,上榜后3天-上涨概率,上榜后5天-买入次数,上榜后5天-平均涨幅,上榜后5天-上涨概率,上榜后10天-买入次数,上榜后10天-平均涨幅,上榜后10天-上涨概率
79,长江证券上海东明路证券营业部,9,-4.315807616667,33.333333333333,9,-5.1973573,33.333333333333,9,-6.464142697778,33.333333333333,7,-1.985089044286,42.857142857143,6,-5.031082118333,33.333333333333
80,中国中金财富证券上海徐汇区淮海中路证券营业部,9,-0.229528465556,33.333333333333,8,2.37606750125,50.0,7,8.898405401429,71.428571428571,4,21.8954674425,100.0,0,0.0,0.0
81,东亚前海证券深圳分公司,9,1.992536168889,55.555555555556,8,3.91833830375,62.5,8,2.60877353125,37.5,8,-1.85061755,37.5,5,-10.454609406,0.0
82,浙商证券杭州五星路证券营业部,9,0.021124734444,44.444444444444,9,-0.496499248889,44.444444444444,9,-0.920147327778,44.444444444444,9,-1.976510055556,44.444444444444,6,-2.227179483333,50.0
83,华泰证券上海黄浦区来福士广场证券营业部,8,3.65550360375,75.0,8,8.34244672875,87.5,8,8.4030452075,75.0,7,11.662005035714,71.428571428571,7,0.292792744286,42.857142857143
84,广发证券广西分公司,8,-1.40926641,25.0,6,0.149177666667,33.333333333333,5,-1.473496452,20.0,5,-1.152080962,40.0,1,-5.88235294,0.0
85,平安证券江苏分公司,8,-3.24826619,37.5,7,-4.611326335714,42.857142857143,7,-7.529598828571,28.571428571429,6,-8.93410531,50.0,2,3.72457044,50.0
86,国盛证券杭州建设三路证券营业部,8,1.5547749575,50.0,8,2.61066475125,62.5,8,3.7785060325,62.5,8,1.55938618625,62.5,4,17.765323925,50.0
87,广发证券武汉纺织路证券营业部,8,-1.67177287625,25.0,7,-2.610877685714,14.285714285714,7,0.061858077143,28.571428571429,5,11.20751634,40.0,1,11.11111111,100.0
88,中国银河证券北京陶然桥证券营业部,8,-4.6246970775,25.0,7,-6.940850622857,0.0,6,-10.804767975,0.0,6,-5.50855431,33.333333333333,3,1.377621656667,66.666666666667
89,国金证券上海静安区南京西路证券营业部,8,-2.41026838,12.5,8,-1.9957268375,50.0,8,-2.5126360275,25.0,7,-3.456066272857,42.857142857143,7,-13.413818224286,14.285714285714
90,广发证券佛山顺德诚德路证券营业部,8,-4.2425136775,12.5,6,-4.593756925,33.333333333333,6,-4.39997888,33.333333333333,5,-7.096068986,20.0,2,-7.58407629,0.0
91,国盛证券宁波桑田路证券营业部,8,2.77298318625,62.5,7,-0.411007334286,28.571428571429,6,-2.325618928333,66.666666666667,4,1.2130639875,50.0,4,-3.214860815,25.0
92,国信证券北京朝阳门证券营业部,8,-2.974213635,25.0,6,-5.563674091667,16.666666666667,6,-5.64912048,33.333333333333,5,5.809886366,80.0,4,3.4497229175,50.0
93,东海证券福州长乐北路证券营业部,8,7.47498375,87.5,7,9.768820391429,85.714285714286,6,8.322996501667,66.666666666667,5,5.213016072,60.0,5,3.281773022,40.0
94,天风证券深圳分公司,8,-3.19582255,25.0,7,-6.830927354286,28.571428571429,6,-7.117955536667,50.0,5,-0.739468644,60.0,4,-2.3250447825,25.0
95,华泰证券上海徐汇区龙启路证券营业部,7,-2.84011123,14.285714285714,7,-5.924703577143,0.0,6,-7.661665761667,0.0,4,-4.3337267475,50.0,4,-9.9927640075,25.0
96,金融街证券沈阳奉天街证券营业部,7,4.605392034286,100.0,7,0.355846762857,57.142857142857,7,-2.094479324286,14.285714285714,5,-2.348465584,0.0,0,0.0,0.0
97,万联证券内江兰桂大道证券营业部,7,2.073470827143,57.142857142857,7,3.973365454286,71.428571428571,6,7.659917635,83.333333333333,5,6.407257992,60.0,2,2.02294686,50.0
98,华泰证券深圳深南大道证券营业部,7,-4.476316468571,14.285714285714,6,-6.50292163,16.666666666667,6,-10.04524371,0.0,5,-11.701395058,20.0,3,-18.86880316,0.0
99,方正证券温岭安平东路证券营业部,7,-1.822499024286,28.571428571429,7,-0.926378951429,42.857142857143,7,-1.777287658571,28.571428571429,6,-2.863104518333,33.333333333333,5,-14.453026784,20.0
100,东吴证券苏州相城大道证券营业部,7,-0.905685347143,28.571428571429,6,2.246059381667,50.0,6,1.551077843333,50.0,6,-3.286716146667,50.0,2,11.352592765,50.0
101,长城证券前海分公司,7,-2.039709881429,14.285714285714,7,-3.86373275,14.285714285714,7,-1.462532708571,28.571428571429,7,3.449671392857,57.142857142857,4,-7.710641155,25.0
102,浙商证券宁波分公司,7,0.992019827143,42.857142857143,6,7.879049768333,83.333333333333,5,14.374101728,80.0,4,17.38163395,75.0,3,38.097871013333,100.0
103,方正证券杭州萧山金城路证券营业部,7,0.021498405714,28.571428571429,7,1.675037014286,42.857142857143,6,1.43696328,50.0,4,-0.711237555,25.0,0,0.0,0.0
104,华创证券北京西直门证券营业部,7,2.378910052857,57.142857142857,6,8.000714378333,83.333333333333,5,7.822928132,60.0,5,14.142889256,60.0,2,-16.98019617,0.0
105,东方证券泉州津淮街证券营业部,7,2.112332514286,71.428571428571,7,2.967528222857,57.142857142857,7,3.294232462857,28.571428571429,7,7.097361161429,57.142857142857,1,16.4893617,100.0
106,东方证券无锡梁清路证券营业部,7,1.155464895714,57.142857142857,7,3.184273061429,57.142857142857,7,3.046788964286,57.142857142857,6,5.828597488333,50.0,5,8.778529458,40.0
107,东北证券佛山分公司,7,-0.021846881429,57.142857142857,7,4.561072717143,57.142857142857,7,3.399327752857,42.857142857143,5,9.54607046,60.0,4,24.29226261,50.0
108,长江证券安徽分公司,7,3.143579912857,57.142857142857,7,3.152723981429,57.142857142857,7,-0.027040964286,42.857142857143,7,0.436965285714,57.142857142857,3,3.981693363333,33.333333333333
109,国泰海通证券广州珠江新城证券营业部,6,5.915665196667,83.333333333333,6,2.257557781667,50.0,6,-3.823839231667,33.333333333333,6,-6.267519115,33.333333333333,5,-21.46874181,20.0
110,国联民生证券宁波财神殿南路证券营业部,6,1.163171498333,50.0,5,2.38702335,60.0,4,-2.3752235125,50.0,3,-9.04152263,33.333333333333,1,-23.61111111,0.0
