序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
50,600396,华电辽能,2026-08-13,普通席位买入，成功率36.31%,18.73,9.0221,-52356889.48,508961445.0,561318334.48,1070279779.48,6432438907.0,-0.813950823894,16.638786546659,24.5515,27583798682.41,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
51,600491,ST龙元,2026-08-13,西藏自治区资金买入，成功率29.81%,1.5,10.2941,-2203096.0,21824662.0,24027758.0,45852420.0,249308950.0,-0.883681071217,18.391806631892,11.762,2294636932.5,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
52,600491,ST龙元,2026-08-13,西藏自治区资金买入，成功率30.51%,1.5,10.2941,-1383467.0,33290418.0,34673885.0,67964303.0,451034772.0,-0.30673178342,15.068528463699,11.762,2294636932.5,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
53,600491,ST龙元,2026-08-13,西藏自治区资金买入，成功率29.81%,1.5,10.2941,-2203096.0,21824662.0,24027758.0,45852420.0,249308950.0,-0.883681071217,18.391806631892,11.762,2294636932.5,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
54,600667,太极实业,2026-08-13,买一主买，成功率42.66%,23.78,4.7116,-393474841.69,2176920367.12,2570395208.81,4747315575.93,29490438939.0,-1.334245456651,16.097812534258,24.5227,49736872992.84,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
55,600683,京投发展,2026-08-13,买一主买，成功率36.67%,12.93,10.0426,10492077.0,21752194.0,11260117.0,33012311.0,51775928.0,20.264391977677,63.759960033937,0.2544,9578254329.21,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
56,600683,京投发展,2026-08-13,买一主买，成功率36.67%,12.93,10.0426,12442539.0,21024180.0,8581641.0,29605821.0,24367878.0,51.061233152924,121.495277512469,0.2544,9578254329.21,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
57,600721,百花医药,2026-08-13,西藏自治区资金买入，成功率37.09%,14.5,3.35,-126201788.05,202707205.27,328908993.32,531616198.59,2571709395.0,-4.907311389668,20.671705738743,48.101,5575940707.5,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
58,600721,百花医药,2026-08-13,西藏自治区资金买入，成功率37.09%,14.5,3.35,-126201788.05,202707205.27,328908993.32,531616198.59,2571709395.0,-4.907311389668,20.671705738743,48.101,5575940707.5,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
59,600881,亚泰集团,2026-08-13,普通席位买入，成功率47.55%,2.27,10.1942,28989232.3,106238707.3,77249475.0,183488182.3,639190457.0,4.535304302893,28.706339447117,8.8919,7336982742.76,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
60,601619,嘉泽新能,2026-08-13,1家机构卖出，成功率45.29%,4.47,-9.697,-204609991.21,72790502.64,277400493.85,350190996.49,771089391.0,-26.535184324693,45.415097208879,6.8335,10883332057.47,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
61,603009,北特科技,2026-08-13,买一主买，成功率43.90%,48.5,4.729,-19487662.06,398923749.02,418411411.08,817335160.1,2249139749.0,-0.866449586722,36.339901087222,5.3972,16799906027.5,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
62,603191,望变电气,2026-08-13,普通席位买入，成功率47.67%,16.94,10.0,41500367.81,186187166.25,144686798.44,330873964.69,799242251.0,5.19246420695,41.398457636094,11.9034,5589600984.66,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
63,603232,格尔软件,2026-08-13,普通席位卖出，成功率60.74%,16.44,-8.6667,-6667697.0,39620732.0,46288429.0,85909161.0,504164792.0,-1.322523330824,17.039896947028,12.8031,3802571917.8,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
64,603236,移远通信,2026-08-13,买一主买，成功率42.16%,59.43,9.9944,347112801.0,347112801.0,,347112801.0,528639715.0,65.661506532857,65.661506532857,2.2075,23947484131.41,单只标的证券的当日融资买入数量达到当日该证券总交易量的50％以上,,,,
65,603330,天洋新材,2026-08-13,普通席位买入，成功率43.80%,9.71,9.966,23704270.08,110474738.28,86770468.2,197245206.48,859760320.0,2.757078865887,22.941882975013,16.6175,3949185463.3,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
66,603337,杰克科技,2026-08-13,1家机构卖出，成功率45.96%,39.57,-9.4508,-150194955.32,129808634.48,280003589.8,409812224.28,602524727.0,-24.927600244363,68.01583502149,3.1498,18480368829.87,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
67,603466,风语筑,2026-08-13,买一主买，成功率45.87%,13.72,10.0241,146686676.13,392021608.92,245334932.79,637356541.71,2567227903.0,5.713815900746,24.826644372523,24.0119,8161046910.24,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
68,603468,津富士达,2026-08-13,西藏自治区资金卖出，成功率7.98%,26.78,-4.4936,8462142.6,30038881.43,21576738.83,51615620.26,323668407.0,2.614448125609,15.947067784098,29.7609,1070894011.72,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
69,603538,美诺华,2026-08-13,卖一主卖，成功率43.17%,32.57,-2.2802,-71039530.68,388342134.4,459381665.08,847723799.48,3808565750.0,-1.865256774942,22.258347502075,33.7202,10973482804.07,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
70,603696,安记食品,2026-08-13,普通席位买入，成功率42.24%,16.37,6.2297,-46295343.57,62474471.19,108769814.76,171244285.95,809778418.0,-5.717038456562,21.147054816914,21.9636,3850224000.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
71,603887,城地香江,2026-08-13,买一主买，成功率48.59%,12.49,10.0441,55210796.0,96001887.0,40791091.0,136792978.0,228054748.0,24.20944816286,59.982517005083,3.0329,7519347468.29,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
72,603918,金桥信息,2026-08-13,普通席位卖出，成功率40.25%,11.11,-8.4089,-35653556.48,38818430.72,74471987.2,113290417.92,553100409.0,-6.446127303442,20.482794096072,13.1591,4056344613.86,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
73,603956,威派格,2026-08-13,买一主买，成功率47.22%,7.99,10.0551,32172724.45,77024978.3,44852253.85,121877232.15,281289345.0,11.437590872843,43.328065679132,6.3099,4553551225.14,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
